76;Angst Heinrich;"""Diavolezza - Piz Palü""";Originalbild;Öl;"B: 87,5; H: 62,4";20. Jh. 
231;Baumberger Otto;Roseggletscher;Originalbild;Öl;"B: 65,2; H: 47,5";20. Jh.
268;Berli Ad.;"""Piz Bernina 4052 Meter""";Originalbild;Öl;"B: 89; H: 65";1940
300;Birkenmayer M.;Berninagruppe;Originalbild;Öl;"B: 35,2; H: 27,3";1932
328;Bleuler Johann Ludwig (Louis);"""Le Glacier de Rheinwald""";Grafik;Aquatintaradierung  /  gouachiert;"B: 29; H: 19";1825 um
335;Bleuler Johann Ludwig (Louis);"""Première source du Rhein posterieur""";Grafik;Aquatinta  /  kol;"B: 30; H: 19,5";1818 um
339;Gröbli Carlo;"""Vue de l'enfer près de la Montagne de l'Oiseau et du Glacier de Rhinwald.""";Grafik;Aquatintaradierung  /  kol;"B: 20,6; H: 26,5";1818 um
385;Bollhalder Carl Albert;"""Roseg Ota""";Originalbild;Öl;"B: 41,1; H: 33";1937
405;Bollier Walter;"""Maloja""";Originalbild;Öl;"B: 80,5; H: 64,5";1926
410;Bollier Walter;"""Piz Roseg""";Originalbild;Öl;"B: 49,5; H: 39,2";20. Jh.
421;Bollier Walter;Arosa mit Weisshorn;Originalbild;Öl;"B: 62,5; H: 57";1919
465;Brehm E.;Bernina;Originalbild;Öl;"B: 80; H: 60,2";20. Jh.
702;Cardinaux Emile;Panorama von Muottas Muragl;Diverse;Chromolitho  /  eines Originalbildes;"B: 64,5; H: 40,5";1919
831;Christoffel Anton;Piz Kesch ;Originalbild;Aquarell  /  über Bleistift;"B: 17; H: 12,5";
974;Gröbli Carlo;"""Hans Grass aus Pontresina""";Grafik;Tonlitho;"B: 17,5; H: 21,5";1881
999;Cunz Maria Martha;Piz Cambrena;Originalbild;Öl;"B: 48,3; H: 35,2";1918 um
1001;Cunz Maria Martha;"""Am Berninapass""";Originalgrafik;Holzschnitt  /  farbig;"B: 29,8; H: 24";1924
1184;Erni J. M.;"""Planüra-Hütte gegen Schneehorn und grosse Windgälle""";Originalbild;Öl;"B: 43; H: 36";1939 fraglich
1321;Früh Walter;"""Diavolezzahütte""";Originalbild;Öl;"B: 16,5; H: 22";1930 um
1338.2;Gadient J.;"""Grenzbesetzung am Umbrail 1916. <Zum langen Fritz>""";Diverse;Druck  /  einer Zeichnung;"B: 17; H: 11";1916
1338.3;Gadient J.;"""Grenzbesetzung am Umbrail 1916. <Alvier-Hütte>""";Diverse;Druck  /  einer Zeichnung;"B: 17; H: 11";1916
1373;Gampert Otto;Verstancla-Gletscher;Originalbild;Öl;"B: 39,9; H: 26,8";
1394;Ganzoni Vitale Camillo;Piz Palü;Originalbild;Öl;"B: 30; H: 23,9";20. Jh.
1411;Gautschi Emil;Berglandschaft mit Gletscher;Originalbild;Pastellkreide;"B: 35,6; H: 42,8";20. Jh.
